Day,Year,PM2.5,Predicted_PM2.5
2023-10-13,2.5194579794668845,3.91,3.1380000000000003
2023-10-14,2.5194579794668845,3.09,3.67
2023-10-15,2.5194579794668845,3.45,3.054
2023-10-16,2.5194579794668845,3.95,3.32375
2023-10-17,2.5194579794668845,5.05,4.3100000000000005
2023-10-18,2.5194579794668845,5.64,6.133333333333333
2023-10-19,2.5194579794668845,4.27,5.5200000000000005
2023-10-20,2.5194579794668845,5.32,3.5
2023-10-21,2.5194579794668845,3.95,4.714285714285714
2023-10-22,2.5194579794668845,3.09,4.3100000000000005
2023-10-23,2.5194579794668845,4.23,3.054
2023-10-24,2.5194579794668845,4.77,2.84
2023-10-25,2.5194579794668845,4.05,5.0
2023-10-26,2.5194579794668845,3.55,3.79
2023-10-27,2.5194579794668845,3.14,4.236
2023-10-28,2.5194579794668845,3.5,3.594
2023-10-29,2.5194579794668845,3.77,3.32375
2023-10-30,2.5194579794668845,3.14,3.7380000000000004
2023-10-31,2.5194579794668845,2.64,3.054
2023-11-01,2.5194579794668845,3.27,3.375
2023-11-02,2.5194579794668845,4.45,3.375
2023-11-03,2.5194579794668845,4.73,5.228
2023-11-04,2.5194579794668845,5.0,4.354444444444445
2023-11-05,2.5194579794668845,3.68,5.019444444444444
2023-11-06,2.5194579794668845,3.95,3.6399999999999997
2023-11-07,2.5194579794668845,2.91,3.44
2023-11-08,2.5194579794668845,3.45,3.1380000000000003
2023-11-09,2.5194579794668845,3.59,3.32375
2023-11-10,2.5194579794668845,4.05,3.6399999999999997
2023-11-11,2.5194579794668845,3.5,3.67
2023-11-12,2.5194579794668845,3.18,3.32375
2023-11-13,2.5194579794668845,3.23,3.4733333333333327
2023-11-14,2.5194579794668845,2.68,3.4733333333333327
2023-11-15,2.5194579794668845,2.73,3.1380000000000003
2023-11-16,2.5194579794668845,2.55,2.6966666666666668
2023-11-17,2.5194579794668845,2.41,2.0766666666666667
2023-11-18,2.5194579794668845,3.82,2.1199999999999997
2023-11-19,2.5194579794668845,4.64,4.195
2023-11-20,2.5194579794668845,4.73,5.019444444444444
2023-11-21,2.5194579794668845,4.68,4.354444444444445
2023-11-22,2.5194579794668845,5.41,5.019444444444444
2023-11-23,2.5194579794668845,5.05,6.133333333333333
2023-11-24,2.5194579794668845,5.0,5.582
2023-11-25,2.5194579794668845,3.82,4.354444444444445
2023-11-26,2.5194579794668845,4.55,3.79
2023-11-27,2.5194579794668845,3.36,4.354444444444445
2023-11-28,2.5194579794668845,4.77,3.019
2023-11-29,2.5194579794668845,6.05,5.019444444444444
2023-11-30,2.5194579794668845,5.41,5.3775
2023-12-01,2.5194579794668845,3.86,3.1950000000000003
2023-12-02,2.5194579794668845,3.14,3.44
2023-12-03,2.5194579794668845,3.09,3.1950000000000003
2023-12-04,2.5194579794668845,3.32,3.1950000000000003
2023-12-05,2.5194579794668845,4.55,3.1950000000000003
2023-12-06,2.5194579794668845,4.05,4.354444444444445
2023-12-07,2.5194579794668845,2.77,4.9875
2023-12-08,2.5194579794668845,3.91,2.3633333333333333
2023-12-09,2.5194579794668845,5.23,3.67
2023-12-10,2.5194579794668845,6.55,6.133333333333333
2023-12-11,2.5194579794668845,4.91,4.56
2023-12-12,2.5194579794668845,6.77,4.354444444444445
2023-12-13,2.5194579794668845,5.05,5.68
2023-12-14,2.5194579794668845,3.64,4.714285714285714
2023-12-15,2.5194579794668845,5.05,4.653333333333333
2023-12-16,2.5194579794668845,5.27,6.133333333333333
2023-12-17,2.5194579794668845,4.59,4.714285714285714
2023-12-18,2.5194579794668845,3.36,5.019444444444444
2023-12-19,2.5194579794668845,4.36,4.653333333333333
2023-12-20,2.5194579794668845,4.14,4.4433333333333325
2023-12-21,2.5194579794668845,3.05,4.9875
2023-12-22,2.5194579794668845,3.45,2.8766666666666665
2023-12-23,2.5194579794668845,4.36,3.972
2023-12-24,2.5194579794668845,4.77,4.4433333333333325
2023-12-25,2.5194579794668845,5.23,3.7699999999999996
2023-12-26,2.5194579794668845,5.95,3.83
2023-12-27,2.5194579794668845,5.68,4.56
2023-12-28,2.5194579794668845,5.5,4.773333333333333
2023-12-29,2.5194579794668845,5.32,4.773333333333333
2023-12-30,2.5194579794668845,5.64,3.83
2023-12-31,2.5194579794668845,5.36,4.773333333333333
2024-01-01,3.7574573782352467,4.45,3.4066666666666667
2024-01-02,3.7574573782352467,4.59,4.9366666666666665
2024-01-03,3.7574573782352467,3.86,4.9366666666666665
2024-01-04,3.7574573782352467,4.55,4.7375
2024-01-05,3.7574573782352467,4.41,4.9366666666666665
2024-01-06,3.7574573782352467,4.91,4.9366666666666665
2024-01-07,3.7574573782352467,4.91,4.9366666666666665
2024-01-08,3.7574573782352467,5.27,4.9366666666666665
2024-01-09,3.7574573782352467,7.27,4.9366666666666665
2024-01-10,3.7574573782352467,5.91,6.125
2024-01-11,3.7574573782352467,4.91,4.56
2024-01-12,3.7574573782352467,4.55,4.9366666666666665
2024-01-13,3.7574573782352467,4.55,4.9366666666666665
2024-01-14,3.7574573782352467,5.0,4.9366666666666665
2024-01-15,3.7574573782352467,4.86,4.9366666666666665
2024-01-16,3.7574573782352467,4.32,6.043333333333333
2024-01-17,3.7574573782352467,5.82,4.7375
2024-01-18,3.7574573782352467,6.5,4.56
