Day,Year,Month_x,PM2.5,TempAVG
1/11/2020,2020,11,2.64,28.12916667
2/11/2020,2020,11,2.55,30.4125
3/11/2020,2020,11,3.5,30.72173913
4/11/2020,2020,11,3.59,29.81666667
5/11/2020,2020,11,4.27,29.90833333
6/11/2020,2020,11,3.86,29.21666667
7/11/2020,2020,11,4.27,27.90416667
8/11/2020,2020,11,3.36,28.7
9/11/2020,2020,11,4.68,28.74166667
10/11/2020,2020,11,4.64,28.925
11/11/2020,2020,11,4.91,25.95833333
12/11/2020,2020,11,4.59,25.44583333
13/11/2020,2020,11,3.95,28.89166667
14/11/2020,2020,11,4.82,28.3
15/11/2020,2020,11,5.45,28.90416667
16/11/2020,2020,11,6.27,29.89166667
17/11/2020,2020,11,3.5,30.9375
18/11/2020,2020,11,4.05,31.44166667
19/11/2020,2020,11,4.55,32.225
20/11/2020,2020,11,5.41,31.77916667
21/11/2020,2020,11,4.86,29.4375
22/11/2020,2020,11,3.64,29.01666667
23/11/2020,2020,11,3.5,30.21666667
24/11/2020,2020,11,4.18,30.69166667
25/11/2020,2020,11,3.27,30.41666667
26/11/2020,2020,11,3.32,30.45833333
27/11/2020,2020,11,3.05,29.47083333
28/11/2020,2020,11,2.68,29.8125
29/11/2020,2020,11,3.23,29.07916667
30/11/2020,2020,11,3.23,29.23333333
1/12/2020,2020,12,2.73,28.43333333
2/12/2020,2020,12,3,29.26521739
3/12/2020,2020,12,3.05,28.71666667
4/12/2020,2020,12,3.09,27.56666667
5/12/2020,2020,12,3.64,26.27083333
6/12/2020,2020,12,3.77,26.44166667
7/12/2020,2020,12,4.14,27.48333333
8/12/2020,2020,12,4.95,28.42083333
9/12/2020,2020,12,4.73,27.62083333
10/12/2020,2020,12,4.68,27.22083333
11/12/2020,2020,12,6,28.99583333
12/12/2020,2020,12,6.73,29.625
13/12/2020,2020,12,6.36,30.39583333
14/12/2020,2020,12,6.5,29.7173913
15/12/2020,2020,12,7.32,30.5
16/12/2020,2020,12,6.77,29.54166667
17/12/2020,2020,12,4.86,29.35833333
18/12/2020,2020,12,3.77,29.71666667
19/12/2020,2020,12,4.23,28.49583333
20/12/2020,2020,12,3.59,26.22916667
21/12/2020,2020,12,3.68,24.58333333
